experiment_name,dataset,examples_per_class,warmup_epochs,optimizer,seed,best_val_acc,final_val_acc,training_time_seconds,total_epochs,batch_size
cifar10_5000epc_w0_sgd_s42,cifar10,5000,0,sgd,42,94.56,94.47,3664.706910133362,85,256
cifar10_5000epc_w1_sgd_s42,cifar10,5000,1,sgd,42,94.08,94.08,3670.0555329322815,85,256
cifar10_5000epc_w5_sgd_s42,cifar10,5000,5,sgd,42,94.84,94.72,3679.665308237076,85,256
cifar10_5000epc_w10_sgd_s42,cifar10,5000,10,sgd,42,94.82,94.71,3682.0358023643494,85,256
cifar10_5000epc_w20_sgd_s42,cifar10,5000,20,sgd,42,94.94,94.83,3683.3038268089294,85,256
cifar10_1000epc_w0_sgd_s42,cifar10,1000,0,sgd,42,81.78,81.5,916.7092247009277,85,256
cifar10_1000epc_w1_sgd_s42,cifar10,1000,1,sgd,42,74.27,73.89,918.0461714267731,85,256
cifar10_1000epc_w5_sgd_s42,cifar10,1000,5,sgd,42,82.72,82.34,917.6734721660614,85,256
cifar10_1000epc_w10_sgd_s42,cifar10,1000,10,sgd,42,84.0,83.63,918.1321489810944,85,256
cifar10_1000epc_w20_sgd_s42,cifar10,1000,20,sgd,42,84.7,84.64,917.4824097156525,85,256
cifar10_500epc_w0_sgd_s42,cifar10,500,0,sgd,42,68.33,68.16,569.3531713485718,85,256
cifar10_500epc_w1_sgd_s42,cifar10,500,1,sgd,42,62.12,62.12,567.1971385478973,85,256
cifar10_500epc_w5_sgd_s42,cifar10,500,5,sgd,42,76.59,76.47,571.3829498291016,85,256
cifar10_500epc_w10_sgd_s42,cifar10,500,10,sgd,42,77.78,77.45,570.198371887207,85,256
cifar10_500epc_w20_sgd_s42,cifar10,500,20,sgd,42,78.65,78.44,573.9848148822784,85,256
cifar10_100epc_w0_sgd_s42,cifar10,100,0,sgd,42,38.65,38.14,294.5921552181244,85,256
cifar10_100epc_w1_sgd_s42,cifar10,100,1,sgd,42,33.54,33.4,293.07996678352356,85,256
cifar10_100epc_w5_sgd_s42,cifar10,100,5,sgd,42,46.38,46.12,296.1444675922394,85,256
cifar10_100epc_w10_sgd_s42,cifar10,100,10,sgd,42,51.39,51.33,296.09054493904114,85,256
cifar10_100epc_w20_sgd_s42,cifar10,100,20,sgd,42,51.34,51.29,293.9423108100891,85,256
cifar10_50epc_w0_sgd_s42,cifar10,50,0,sgd,42,41.1,41.1,258.0821521282196,85,256
cifar10_50epc_w1_sgd_s42,cifar10,50,1,sgd,42,33.01,32.83,263.5776996612549,85,256
cifar10_50epc_w5_sgd_s42,cifar10,50,5,sgd,42,37.31,37.31,261.7232789993286,85,256
cifar10_50epc_w10_sgd_s42,cifar10,50,10,sgd,42,41.25,41.25,260.815509557724,85,256
cifar10_50epc_w20_sgd_s42,cifar10,50,20,sgd,42,41.77,41.77,262.51986622810364,85,256
cifar10_5000epc_w0_sgd_s123,cifar10,5000,0,sgd,123,94.59,94.57,3696.714216709137,85,256
cifar10_5000epc_w0_sgd_s456,cifar10,5000,0,sgd,456,94.74,94.72,3692.56592130661,85,256
cifar10_5000epc_w1_sgd_s123,cifar10,5000,1,sgd,123,94.59,94.53,3691.97993350029,85,256
cifar10_5000epc_w1_sgd_s456,cifar10,5000,1,sgd,456,94.37,94.32,3690.0767018795013,85,256
cifar10_5000epc_w5_sgd_s123,cifar10,5000,5,sgd,123,94.99,94.94,3694.5189044475555,85,256
cifar10_5000epc_w5_sgd_s456,cifar10,5000,5,sgd,456,94.72,94.65,3695.971305847168,85,256
cifar10_5000epc_w10_sgd_s123,cifar10,5000,10,sgd,123,94.79,94.71,3695.5262546539307,85,256
cifar10_5000epc_w10_sgd_s456,cifar10,5000,10,sgd,456,94.68,94.63,3687.7630336284637,85,256
cifar10_5000epc_w20_sgd_s123,cifar10,5000,20,sgd,123,94.86,94.8,3684.305585384369,85,256
cifar10_5000epc_w20_sgd_s456,cifar10,5000,20,sgd,456,94.91,94.79,374.79143357276917,85,256
cifar10_1000epc_w0_sgd_s123,cifar10,1000,0,sgd,123,82.16,81.79,301.6328914165497,85,256
cifar10_1000epc_w0_sgd_s456,cifar10,1000,0,sgd,456,81.45,81.23,305.0344183444977,85,256
cifar10_1000epc_w1_sgd_s123,cifar10,1000,1,sgd,123,77.51,77.42,307.3992817401886,85,256
cifar10_1000epc_w1_sgd_s456,cifar10,1000,1,sgd,456,77.74,77.43,305.1754426956177,85,256
cifar10_1000epc_w5_sgd_s123,cifar10,1000,5,sgd,123,84.1,83.85,302.56157302856445,85,256
cifar10_1000epc_w5_sgd_s456,cifar10,1000,5,sgd,456,82.96,82.91,302.8249080181122,85,256
cifar10_1000epc_w10_sgd_s123,cifar10,1000,10,sgd,123,84.54,84.3,300.2004392147064,85,256
cifar10_1000epc_w10_sgd_s456,cifar10,1000,10,sgd,456,84.04,83.78,302.8565721511841,85,256
cifar10_1000epc_w20_sgd_s123,cifar10,1000,20,sgd,123,85.26,85.11,307.8204827308655,85,256
cifar10_1000epc_w20_sgd_s456,cifar10,1000,20,sgd,456,84.81,84.59,306.6438789367676,85,256
cifar10_500epc_w0_sgd_s123,cifar10,500,0,sgd,123,70.3,70.13,223.46172833442688,85,256
cifar10_500epc_w0_sgd_s456,cifar10,500,0,sgd,456,71.38,71.38,223.05827808380127,85,256
cifar10_500epc_w1_sgd_s123,cifar10,500,1,sgd,123,61.86,61.69,225.5513186454773,85,256
cifar10_500epc_w1_sgd_s456,cifar10,500,1,sgd,456,55.05,54.57,222.74188899993896,85,256
cifar10_500epc_w5_sgd_s123,cifar10,500,5,sgd,123,76.11,76.04,222.63496661186218,85,256
cifar10_500epc_w5_sgd_s456,cifar10,500,5,sgd,456,74.61,74.48,223.9846432209015,85,256
cifar10_500epc_w10_sgd_s123,cifar10,500,10,sgd,123,77.0,76.89,225.8566918373108,85,256
